datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:16.6,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.15,48.625,37.475,5.3,0.7,0.2,0,0.319,0.23,0.23,8565.9,44.02,0,0,0.456749,0.482051,0.475762,35:16.6,142.765,763.4124999999999,0,3.6809815950920277
35:16.8,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.175,48.4,38.25,5.3,0.7,0.2,0,0.319,0.24,0.24,8507.78,44.32,0,0,0.456749,0.482051,0.475762,35:16.8,141.79633333333334,759.88,0,3.896103896103889
35:17.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.25,47.425,38.4,5.3,-0.2,0.2,0,0.319,0.25,0.25,8507.78,44.32,0,0,0.456749,0.482051,0.475762,35:17.0,141.79633333333334,744.5724999999999,0,3.5087719298245643
35:17.2,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.175,46.775,38.825,5.3,-0.2,0.6,0,0.319,0.26,0.26,8580.32,44.32,0,0,0.456749,0.482051,0.475762,35:17.2,143.00533333333334,734.3675,0,2.690582959641258
35:17.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.525,46.775,38.75,5.325,-0.2,0.6,0,0.319,0.27,0.27,8580.32,51.29,0,0,0.456749,0.482051,0.475762,35:17.3,143.00533333333334,734.3675,0,4.800000000000004
35:17.5,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.525,46.65,38.275,5.275,-0.2,0.6,0,0.319,0.28,0.28,8580.32,51.29,0,0,0.456749,0.482051,0.475762,35:17.5,143.00533333333334,732.405,0,2.9268292682926855
35:17.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.375,43.45,38.35,5.25,-0.2,0.6,0,0.319,0.29,0.29,8496.74,51.34,0,0,0.456749,0.482051,0.475762,35:17.7,141.61233333333334,682.165,0,2.9268292682926695
35:17.9,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.975,45.8,38.375,5.25,-0.2,0.6,0,0.319,0.3,0.3,8496.74,51.34,0,0,8.01082,5.12552,4.10992,35:17.9,141.61233333333334,719.06,0,3.797468354430383
35:18.1,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.025,48.125,39,5.25,-0.2,0.5,0,0.3,0.31,0.31,8496.74,51.34,0,0,8.01082,5.12552,4.10992,35:18.1,141.61233333333334,755.5625,0,2.690582959641258
35:18.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.675,47.6,39.1,5.275,-0.2,0.5,0,0.3,0.32,0.32,8587.13,51.44,0,0,8.01082,5.12552,4.10992,35:18.3,143.11883333333333,747.3199999999999,0,3.658536585365857
35:18.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.875,47.575,39.15,5.25,-0.2,0.5,0,0.3,0.33,0.33,8587.13,51.44,0,0,8.01082,5.12552,4.10992,35:18.4,143.11883333333333,746.9275,0,3.8216560509554176
35:18.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.6,47.75,37.9,5.275,0,1,0,0.3,0.34,0.34,8587.13,51.44,0,0,8.01082,5.12552,4.10992,35:18.7,143.11883333333333,749.675,0,2.5316455696202556
35:18.9,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.025,48.2,38.1,5.25,0,1,0,0.319,0.35,0.35,8614.06,51.28,0,0,8.01082,5.12552,4.10992,35:18.9,143.56766666666667,756.74,0,3.030303030303016
35:19.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.55,48.3,38.25,5.225,0,1,0,0.319,0.36,0.36,8614.06,51.28,0,0,8.01082,5.12552,4.10992,35:19.0,143.56766666666667,758.31,0,4.580152671755729
